,1,2,4,6,8,10,12,16,20,24
1 MiB,0.07,0.09000000000000001,0.12,0.20666666666666667,0.20333333333333337,0.41333333333333333,0.6233333333333334,1.5033333333333332,1.6433333333333333,3.0366666666666666
5 MiB,0.31666666666666665,0.3333333333333333,0.36000000000000004,0.41,0.44333333333333336,0.45999999999999996,0.5366666666666667,0.64,0.8366666666666666,0.9733333333333333
10 MiB,0.6900000000000001,0.7566666666666667,0.8266666666666667,0.8766666666666666,0.9766666666666667,1.0599999999999998,1.4933333333333334,2.2266666666666666,2.566666666666667,4.693333333333334
50 MiB,3.473333333333333,3.72,3.94,4.093333333333333,4.32,4.756666666666667,5.463333333333334,5.760000000000001,7.919999999999999,12.090000000000002
100 MiB,7.073333333333333,7.293333333333333,7.813333333333333,8.086666666666666,8.663333333333334,9.246666666666666,9.573333333333334,11.25,13.573333333333332,19.45
500 MiB,33.97333333333333,35.083333333333336,37.1,40.22666666666667,42.123333333333335,44.14333333333334,45.57666666666666,49.98333333333333,56.11000000000001,62.14000000000001
1 GiB,70.58333333333333,72.10000000000001,75.60333333333334,81.48333333333333,85.40333333333335,89.67333333333333,93.27666666666666,98.87333333333333,112.36,123.66000000000001
5 GiB,348.7966666666666,366.47333333333336,384.72,407.82,420.08,498.58,436.0733333333333,463.19000000000005,533.1233333333333,567.01
10 GiB,673.36,709.0633333333334,732.13,777.9033333333333,828.3566666666667,876.5133333333333,912.71,1311.03,1083.8066666666666,1323.1966666666667
